,Country,Year,ECCN Code,Description,Rank,Ranking
0,Brazil,2018,9A610,Military Aircraft and Related Commodities,1,License
1,Brazil,2018,1C350,"Chemicals, Precursors for toxic Chemical Agents",2,License
2,Brazil,2018,2B350,Chemical Manufacturing Facilities and Equip.,3,License
3,Brazil,2018,0A984,"Shotguns, Buckshot,Shotgun Shells",4,License
4,Brazil,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",5,License
5,Brazil,2018,0A987,Optical Sighting Devices for Firearms,6,License
6,Brazil,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,7,License
7,Brazil,2018,1C351,Human and Animal Pathogens and toxins,8,License
8,Brazil,2018,0A606,Ground Vehicles and Related Commodities,9,License
9,Brazil,2018,1C107,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007 ...",10,License
10,Brazil,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
11,Brazil,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
12,Brazil,2018,5D002,"""Software"" as follows (see List of Items Controlled)",3,Exceptions
13,Brazil,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",4,Exceptions
14,Brazil,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,5,Exceptions
15,Brazil,2018,3A001,Electronic Components,6,Exceptions
16,Brazil,2018,No ECCN,No ECCN is required for License Exceptions TMP*,7,Exceptions
17,Brazil,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,8,Exceptions
18,Brazil,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,9,Exceptions
19,Brazil,2018,5D992,"""Information Security"" ""software"" not controlled by 5D002",10,Exceptions
20,Brazil,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
21,Brazil,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101 ...,2,NLR with ECCN
22,Brazil,2018,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
23,Brazil,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
24,Brazil,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,5,NLR with ECCN
25,Brazil,2018,4A994,"Specific Processing Equip., N.E.S.",6,NLR with ECCN
26,Brazil,2018,3A991,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
27,Brazil,2018,3A999,"Vessels, Marine Systems or Equip. not Controlled by 8A001 or 8A002...",8,NLR with ECCN
28,Brazil,2018,1A995,"Specific Processing Equip., N.E.S.",9,NLR with ECCN
29,Brazil,2018,8A992,Commercial Charges and Devices Containing Energetic Materials,10,NLR with ECCN
30,Canada,2018,0A987,Optical Sighting Devices for Firearms,1,License
31,Canada,2018,0A984,"Shotguns, Buckshot, Shotgun Shells",2,License
32,Canada,2018,0A986,Shotgun Shells (Except Buckshot Shells) and Parts,3,License
33,Canada,2018,0A606,Ground Vehicles and Related Commodities,4,License
34,Canada,2018,9A610,Military Aircraft and Related Commodities,5,License
35,Canada,2018,1C351,Human and Animal Pathogens and toxins,6,License
36,Canada,2018,3A611,Military Electronics,7,License
37,Canada,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,8,License
38,Canada,2018,9A619,Military Gas Turbine Engines and Related Commodities,9,License
39,Canada,2018,7A611,"Navigation and Avionics equipment and systems, and ""parts"", ",10,License
40,Canada,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
41,Canada,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,2,Exceptions
42,Canada,2018,No ECCN,No ECCN is required for License Exceptions TMP*,3,Exceptions
43,Canada,2018,9A610,Military Aircraft and Related Commodities,4,Exceptions
44,Canada,2018,0A606,Ground Vehicles and Related Commodities,5,Exceptions
45,Canada,2018,0A987,Optical Sighting Devices for Firearms,6,Exceptions
46,Canada,2018,9A619,Military Gas Turbine Engines and Related Commodities,7,Exceptions
47,Canada,2018,3A611,Military Electronics,8,Exceptions
48,Canada,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,9,Exceptions
49,Canada,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,10,Exceptions
50,Canada,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
51,Canada,2018,5A992,Equipment not controlled by 5A002,2,NLR with ECCN
52,Canada,2018,9A610,Military Aircraft and Related Commodities,3,NLR with ECCN
53,Canada,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
54,Canada,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,5,NLR with ECCN
55,Canada,2018,9A619,Military Gas Turbine Engines and Related Commodities,6,NLR with ECCN
56,Canada,2018,0A606,Ground Vehicles and Related Commodities,7,NLR with ECCN
57,Canada,2018,3A611,Military Electronics,8,NLR with ECCN
58,Canada,2018,9A515,Spacecraft and Related Commodities,9,NLR with ECCN
59,Canada,2018,4A994,Computers Not Controlled By 4A001 or 4A003,10,NLR with ECCN
60,China,2018,2B230,Pressure Transducers,1,License
61,China,2018,2B350,Chemical Manufacturing Facilities and Equip.,2,License
62,China,2018,6A005,Optical Equip. (Lasers),3,License
63,China,2018,3A233,Mass Spectrometers,4,License
64,China,2018,3A001,Electronic Components,5,License
65,China,2018,2B352,Equip. for Handling Biological Materials,6,License
