,Country,Year,ECCN Code,Description,Rank,Ranking
0,Brazil,2018,9A619,Military Gas Turbine Engines and Related Commodities,1,License
1,Brazil,2018,9A610,Military Aircraft and Related Commodities,2,License
2,Brazil,2018,9A001,Aero Gas Turbine Engines,3,License
3,Brazil,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",4,License
4,Brazil,2018,1C350,"Chemicals, Precursors for toxic Chemical Agents",5,License
5,Brazil,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,6,License
6,Brazil,2018,2B352,Equip. for Handling Biological Materials,7,License
7,Brazil,2018,9A003,"Assemblies/Components Incorporating Technologies Controlled by 9E003.a, ...",8,License
8,Brazil,2018,6A003,Cameras,9,License
9,Brazil,2018,7A611,"Navigation and Avionics equipment and systems, and ""parts""",10,License
10,Brazil,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
11,Brazil,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,Exceptions
12,Brazil,2018,9A610,Military Aircraft and Related Commodities,3,Exceptions
13,Brazil,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",4,Exceptions
14,Brazil,2018,No ECCN,No ECCN is required for License Exceptions TMP*,5,Exceptions
15,Brazil,2018,5D002,"""Software"" as follows (see List of Items Controlled)",6,Exceptions
16,Brazil,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,7,Exceptions
17,Brazil,2018,9A619,Military Gas Turbine Engines and Related Commodities,8,Exceptions
18,Brazil,2018,6A001,"Acoustic Systems, Equipment and ""Components""",9,Exceptions
19,Brazil,2018,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",10,Exceptions
20,Brazil,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
21,Brazil,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
22,Brazil,2018,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
23,Brazil,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
24,Brazil,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,5,NLR with ECCN
25,Brazil,2018,2B999,"Specific Processing Equip., N.E.S.",6,NLR with ECCN
26,Brazil,2018,4A994,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
27,Brazil,2018,8A992,"Vessels, Marine Systems or Equip. not Controlled by 8A001 or 8A002...",8,NLR with ECCN
28,Brazil,2018,3A999,"Specific Processing Equip., N.E.S.",9,NLR with ECCN
29,Brazil,2018,1C992,Commercial Charges and Devices Containing Energetic Materials,10,NLR with ECCN
30,Canada,2018,0A987,Optical Sighting Devices for Firearms,1,License
31,Canada,2018,0A606,Ground Vehicles and Related Commodities,2,License
32,Canada,2018,0A984,"Shotguns, Buckshot, Shotgun Shells",3,License
33,Canada,2018,0A986,Shotgun Shells (Except Buckshot Shells) and Parts,4,License
34,Canada,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,5,License
35,Canada,2018,9A610,Military Aircraft and Related Commodities,6,License
36,Canada,2018,7A611,"Navigation and Avionics equipment and systems, and ""parts"",",7,License
37,Canada,2018,1C234,"Zirconium, with a Hafnium Content",8,License
38,Canada,2018,3A611,Military Electronics,9,License
39,Canada,2018,1C351,Human and Animal Pathogens and toxins,10,License
40,Canada,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
41,Canada,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
42,Canada,2018,No ECCN,No ECCN is required for License Exceptions TMP*,3,Exceptions
43,Canada,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,4,Exceptions
44,Canada,2018,9A619,Military Gas Turbine Engines and Related Commodities,5,Exceptions
45,Canada,2018,3A611,Military Electronics,6,Exceptions
46,Canada,2018,0A606,Ground Vehicles and Related Commodities,7,Exceptions
47,Canada,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,8,Exceptions
48,Canada,2018,6A003,Cameras,9,Exceptions
49,Canada,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
50,Canada,2018,9A610,Military Aircraft and Related Commodities,2,NLR with ECCN
51,Canada,2018,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003,3,NLR with ECCN
52,Canada,2018,9A619,Military Gas Turbine Engines and Related Commodities,4,NLR with ECCN
53,Canada,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
54,Canada,2018,3A611,Military Electronics,6,NLR with ECCN
55,Canada,2018,0A606,Ground Vehicles and Related Commodities,7,NLR with ECCN
56,Canada,2018,5A992,Equipment not controlled by 5A002,8,NLR with ECCN
57,Canada,2018,9A003,"Assemblies/Components Incorporating Technologies Controlled by 9E003.a,",9,NLR with ECCN
58,Canada,2018,4A994,Computers Not Controlled By 4A001 or 4A003,10,NLR with ECCN
59,China,2018,3A233,Mass Spectrometers,1,License
60,China,2018,9A001,Aero Gas Turbine Engines,2,License
61,China,2018,6A005,Optical Equip. (Lasers),3,License
62,China,2018,2B350,Chemical Manufacturing Facilities and Equip.,4,License
63,China,2018,2B001,Machine tools/Numerical Control Units,5,License
64,China,2018,1B001,"Equip. for Production of Fibers, Preforms Or Co",6,License
65,China,2018,2B352,Equip. for Handling Biological Materials,7,License
66,China,2018,2B230,Pressure Transducers,8,License
67,China,2018,3C002,Resist Materials,9,License
68,China,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",10,License
69,China,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
70,China,2018,3A001,Electronic Components,2,Exceptions
71,China,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,3,Exceptions
72,China,2018,3B001,Epitaxial Equip. for Semiconductors,4,Exceptions
73,China,2018,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",5,Exceptions
74,China,2018,5D002,"""Software"" as follows (see List of Items Controlled)",6,Exceptions
75,China,2018,No ECCN,No ECCN is required for License Exceptions TMP*,7,Exceptions
76,China,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",8,Exceptions
77,China,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,9,Exceptions
78,China,2018,1C006,Fluids and Lubricating Materials,10,Exceptions
79,China,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
80,China,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,2,NLR with ECCN
81,China,2018,5A992,Equipment not controlled by 5A002,3,NLR with ECCN
82,China,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,4,NLR with ECCN
83,China,2018,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002,5,NLR with ECCN
84,China,2018,3A999,"Specific Processing Equip., N.E.S.",6,NLR with ECCN
85,China,2018,3A991,Electronic Devices and Components,7,NLR with ECCN
86,China,2018,3A992,General Purpose Electronic Equip. Note Controlled by 3A002,8,NLR with ECCN
87,China,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,9,NLR with ECCN
88,China,2018,4A994,Computers Not Controlled By 4A001 or 4A003,10,NLR with ECCN
89,France,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",1,License
90,France,2018,9A610,Military Aircraft and Related Commodities,2,License
91,France,2018,3A611,Military Electronics,3,License
92,France,2018,9A515,Spacecraft and Related Commodities,4,License
93,France,2018,3A101,Electronic Equip./Devices Not Controlled By 3A001,5,License
94,France,2018,9A619,Military Gas Turbine Engines and Related Commodities,6,License
95,France,2018,3A101,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,7,License
96,France,2018,9A991,Cameras,8,License
97,France,2018,6A003,Gyros and Angular Rate Sensors,9,License
98,France,2018,7A002,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007",10,License
99,France,2018,9A515,Spacecraft and Related Commodities,1,Exceptions
100,France,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,2,Exceptions
101,France,2018,3A001,Electronic Components,3,Exceptions
102,France,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,4,Exceptions
103,France,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,5,Exceptions
104,France,2018,9A610,Military Aircraft and Related Commodities,6,Exceptions
105,France,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,7,Exceptions
106,France,2018,3A611,Military Electronics,8,Exceptions
107,France,2018,9A001,Aero Gas Turbine Engines,9,Exceptions
108,France,2018,9B001,"Equip., tooling Or Fixtures, “Specially Designed",10,Exceptions
109,France,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,1,NLR with ECCN
110,France,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,2,NLR with ECCN
111,France,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,3,NLR with ECCN
112,France,2018,5A992,Equipment not controlled by 5A002,4,NLR with ECCN
113,France,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
114,France,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,6,NLR with ECCN
115,France,2018,4A994,Computers Not Controlled By 4A001 or 4A003,7,NLR with ECCN
116,France,2018,3A999,Electronic Devices and Components,8,NLR with ECCN
117,France,2018,1A995,Protective and Detection Equip.,9,NLR with ECCN
118,France,2018,6A998,"Radar Systems, Equip. and Major “Components,” N.E.S., and “Specially D...",10,NLR with ECCN
119,Germany,2018,9A610,Military Aircraft and Related Commodities,1,License
120,Germany,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",2,License
121,Germany,2018,7A002,"Gyros and Angular Rate Sensors, ...",3,License
122,Germany,2018,0A606,Ground Vehicles and Related Commodities,4,License
123,Germany,2018,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, ...",5,License
124,Germany,2018,3A611,Military Electronics,6,License
125,Germany,2018,9A515,Optical Sensors,7,License
126,Germany,2018,6A002,Spacecraft and Related Commodities,8,License
127,Germany,2018,6A003,Cameras,9,License
128,Germany,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
129,Germany,2018,9A610,Military Aircraft and Related Commodities,2,Exceptions
130,Germany,2018,3A611,Military Electronics,3,Exceptions
131,Germany,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,4,Exceptions
132,Germany,2018,1A613,"Armored and Protective Equip., Constructions, and Components",5,Exceptions
133,Germany,2018,9A619,Military Gas Turbine Engines and Related Commodities,6,Exceptions
134,Germany,2018,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia...",7,Exceptions
135,Germany,2018,9A515,Spacecraft and Related Commodities,8,Exceptions
136,Germany,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,9,Exceptions
137,Germany,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
138,Germany,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,2,NLR with ECCN
139,Germany,2018,5A992,Mass market Encryption Commodities not controlled by 5A002,3,NLR with ECCN
140,Germany,2018,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003,4,NLR with ECCN
141,Germany,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,5,NLR with ECCN
142,Germany,2018,3A999,"Specific Processing Equip., N.E.S.",6,NLR with ECCN
143,Germany,2018,3B991,Other Mfg/Test Equip. Not Controlled By 3B,7,NLR with ECCN
144,Germany,2018,4A994,Computers Not Controlled By 4A001 or 4A003,8,NLR with ECCN
145,Germany,2018,6A005,Optical Equip. (Lasers),9,NLR with ECCN
146,Germany,2018,1C210,"Fibrous/Filamentary Materials Not Controlled By 1C010.a, .b or .e ...",10,NLR with ECCN
147,Hong Kong,2018,3A101,Electronic Equip./Devices Not Controlled By 3A001,1,License
148,Hong Kong,2018,3A001,Electronic Components,2,License
149,Hong Kong,2018,3A233,Mass Spectrometers,3,License
150,Hong Kong,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,4,License
151,Hong Kong,2018,1A004,"""Software"" as follows (see List of Items Controlled)",5,License
152,Hong Kong,2018,5D002,"Zirconium, with a Hafnium Content",6,License
153,Hong Kong,2018,1C234,Optical Equip. (Lasers),7,License
154,Hong Kong,2018,6A005,"Instrumentation, Navigation Equip./Systems Not",8,License
155,Hong Kong,2018,7A103,Optical Sighting Devices for Firearms,9,License
156,Hong Kong,2018,5A002,Systems/Equip./Integrated Circuits for Info Sec,1,Exceptions
157,Hong Kong,2018,No ECCN,No ECCN is required for License Exceptions TMP*,2,Exceptions
158,Hong Kong,2018,3A001,Electronic Components,3,Exceptions
159,Hong Kong,2018,5D002,"""Software"" as follows (see List of Items Controlled)",4,Exceptions
160,Hong Kong,2018,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment",5,Exceptions
161,Hong Kong,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,6,Exceptions
162,Hong Kong,2018,7A103,"Instrumentation, Navigation Equip./Systems Not",7,Exceptions
163,Hong Kong,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,8,Exceptions
164,Hong Kong,2018,5B991,Telecommunications Test Equip.,9,Exceptions
165,Hong Kong,2018,3C005,Silicon Carbide Wafers,10,Exceptions
166,Hong Kong,2018,EAR99,Items subject to the EAR that are not elsewhere controlled,1,NLR with ECCN
167,Hong Kong,2018,5A991,Telecommunication Equip. Not Controlled by 5A001,2,NLR with ECCN
168,Hong Kong,2018,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101,3,NLR with ECCN
169,Hong Kong,2018,5A992,Equipment not controlled by 5A002,4,NLR with ECCN
