,ECCN Code,Description
0,9A610,Military Aircraft and Related Commodities
1,1C350,"Chemicals, Precursors for toxic Chemical Agents"
2,2B350,Chemical Manufacturing Facilities and Equip.
3,0A984,"Shotguns, Buckshot,Shotgun Shells"
4,7A103,"Instrumentation, Navigation Equip./Systems Not"
5,0A987,Optical Sighting Devices for Firearms
6,5A002,Systems/Equip./Integrated Circuits for Info Sec
7,1C351,Human and Animal Pathogens and toxins
8,0A606,Ground Vehicles and Related Commodities
9,1C107,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007 ..."
12,5D002,"""Software"" as follows (see List of Items Controlled)"
14,EAR99,Items subject to the EAR that are not elsewhere controlled
15,3A001,Electronic Components
16,No ECCN,No ECCN is required for License Exceptions TMP*
17,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003
18,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101
19,5D992,"""Information Security"" ""software"" not controlled by 5D002"
21,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101 ...
22,5A992,Equipment not controlled by 5A002
23,5A991,Telecommunication Equip. Not Controlled by 5A001
25,4A994,"Specific Processing Equip., N.E.S."
26,3A991,Computers Not Controlled By 4A001 or 4A003
27,3A999,"Vessels, Marine Systems or Equip. not Controlled by 8A001 or 8A002..."
28,1A995,"Specific Processing Equip., N.E.S."
29,8A992,Commercial Charges and Devices Containing Energetic Materials
31,0A984,"Shotguns, Buckshot, Shotgun Shells"
32,0A986,Shotgun Shells (Except Buckshot Shells) and Parts
36,3A611,Military Electronics
38,9A619,Military Gas Turbine Engines and Related Commodities
39,7A611,"Navigation and Avionics equipment and systems, and ""parts"", "
58,9A515,Spacecraft and Related Commodities
59,4A994,Computers Not Controlled By 4A001 or 4A003
60,2B230,Pressure Transducers
62,6A005,Optical Equip. (Lasers)
63,3A233,Mass Spectrometers
65,2B352,Equip. for Handling Biological Materials
67,1C202,Protective and Detection Equip.
68,1C002,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows
