,ECCN Code,Description
0,9A619,Military Gas Turbine Engines and Related Commodities
1,9A610,Military Aircraft and Related Commodities
2,9A001,Aero Gas Turbine Engines
3,7A103,"Instrumentation, Navigation Equip./Systems Not"
4,1C350,"Chemicals, Precursors for toxic Chemical Agents"
5,5A002,Systems/Equip./Integrated Circuits for Info Sec
6,2B352,Equip. for Handling Biological Materials
7,9A003,"Assemblies/Components Incorporating Technologies Controlled by 9E003.a, ..."
8,6A003,Cameras
9,7A611,"Navigation and Avionics equipment and systems, and ""parts"""
11,9A991,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101
14,No ECCN,No ECCN is required for License Exceptions TMP*
15,5D002,"""Software"" as follows (see List of Items Controlled)"
16,7A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003
18,6A001,"Acoustic Systems, Equipment and ""Components"""
19,5B002,"""Information Security"" Test, Inspection and ""Production"" Equipment"
20,EAR99,Items subject to the EAR that are not elsewhere controlled
22,5A992,Equipment not controlled by 5A002
23,5A991,Telecommunication Equip. Not Controlled by 5A001
25,2B999,"Specific Processing Equip., N.E.S."
26,4A994,Computers Not Controlled By 4A001 or 4A003
27,8A992,"Vessels, Marine Systems or Equip. not Controlled by 8A001 or 8A002..."
28,3A999,"Specific Processing Equip., N.E.S."
29,1C992,Commercial Charges and Devices Containing Energetic Materials
30,0A987,Optical Sighting Devices for Firearms
31,0A606,Ground Vehicles and Related Commodities
32,0A984,"Shotguns, Buckshot, Shotgun Shells"
33,0A986,Shotgun Shells (Except Buckshot Shells) and Parts
36,7A611,"Navigation and Avionics equipment and systems, and ""parts"","
37,1C234,"Zirconium, with a Hafnium Content"
38,3A611,Military Electronics
39,1C351,Human and Animal Pathogens and toxins
51,7A994,Other Navigation Direction Finding Equip.... Not Controlled under 7A003
57,9A003,"Assemblies/Components Incorporating Technologies Controlled by 9E003.a,"
59,3A233,Mass Spectrometers
61,6A005,Optical Equip. (Lasers)
62,2B350,Chemical Manufacturing Facilities and Equip.
63,2B001,Machine tools/Numerical Control Units
64,1B001,"Equip. for Production of Fibers, Preforms Or Co"
66,2B230,Pressure Transducers
67,3C002,Resist Materials
70,3A001,Electronic Components
72,3B001,Epitaxial Equip. for Semiconductors
78,1C006,Fluids and Lubricating Materials
80,3B991,Other Mfg/Test Equip. Not Controlled By 3B
83,3B992,Equip. for the Inspection/Testing of Components not Controlled by 3B002
85,3A991,Electronic Devices and Components
86,3A992,General Purpose Electronic Equip. Note Controlled by 3A002
92,9A515,Spacecraft and Related Commodities
93,3A101,Electronic Equip./Devices Not Controlled By 3A001
95,3A101,Aircraft N.E.S. and Gas Turbine Engines not Controlled by 9A001 or 9A101
96,9A991,Cameras
97,6A003,Gyros and Angular Rate Sensors
98,7A002,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007"
108,9B001,"Equip., tooling Or Fixtures, “Specially Designed"
116,3A999,Electronic Devices and Components
117,1A995,Protective and Detection Equip.
118,6A998,"Radar Systems, Equip. and Major “Components,” N.E.S., and “Specially D..."
121,7A002,"Gyros and Angular Rate Sensors, ..."
123,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes, ..."
125,9A515,Optical Sensors
126,6A002,Spacecraft and Related Commodities
132,1A613,"Armored and Protective Equip., Constructions, and Components"
134,9B610,"Test, Inspection, and Production Equip. and Related Commodities Specia..."
139,5A992,Mass market Encryption Commodities not controlled by 5A002
146,1C210,"Fibrous/Filamentary Materials Not Controlled By 1C010.a, .b or .e ..."
151,1A004,"""Software"" as follows (see List of Items Controlled)"
152,5D002,"Zirconium, with a Hafnium Content"
153,1C234,Optical Equip. (Lasers)
154,6A005,"Instrumentation, Navigation Equip./Systems Not"
155,7A103,Optical Sighting Devices for Firearms
164,5B991,Telecommunications Test Equip.
165,3C005,Silicon Carbide Wafers
171,7A994,Computers Not Controlled By 4A001 or 4A003
172,4A994,Other Navigation Direction Finding Equip. ... Not Controlled under 7A003
175,3B999,"Specific Processing Equip., N.E.S"
182,2B201,Machine tools for Removing Or Cutting Metals
190,3A002,General Purpose Electronic Equip.
199,1C999,"Specific Materials, N.E.S., as Follows (See List of Items Controlled)..."
201,2B991,"Numerical Control Units for Machine tools and ""Numerically Controlled""..."
205,5B991,Telecommunications Test Equip
209,0A604,Commodities Related to Military Explosive Devices and Charges
213,1A607,"Military dissemination ""equipment"" for riot control agents, ..."
214,1C202,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4 as follows ...
215,1A984,"Chemical Agents, Including Tear Gas"
240,7A611,"Navigation and Avionics equipment and systems, and parts"
242,7B611,"Test, etc. commodities specially designed for mil. fire control, laser, imaging..."
244,3B611,"Test, Inspection, and Production Commodities for Military Electronics"
249,9A004,Space Launch Vehicles and Spacecraft
251,8A609,Surface Vessels of War and Related Commodities
252,5B002,"Information Security Test, Inspection and Production Equipment"
258,5A992,Mass Market Encryption Commodities not controlled by 5A002
262,1C992,Commercial Charges and Devices Containing Energetic Materials ...
270,7A003,Inertial Navigation Systems (Gimballed/Strapdown)
271,1C107,"Graphite and Ceramic Materials, Other Than Those Controlled by 1C007"
272,7A611,"Navigation and Avionics equipment and systems, and ""parts,"""
294,3A999,"Specific Processing Equip., N.E.S"
298,9B619,"Test, Inspection, and Production Equip. and Related Commodities Specia..."
302,9E619,"Technology for Commodities controlled by 9A619, 9B619, 9C619 and 9D619"
310,7A103,"""Information Security"" Test, Inspection and ""Production"" Equipment"
313,5B002,"Instrumentation, Navigation Equip./Systems Not"
314,3A001,Military Gas Turbine Engines and Related Commodities
326,1C111,Propellants and Constituent Chemicals
331,9A604,"Commodities Related to Launch Vehicles, Missiles, Rockets, torpedoes,"
344,No ECCN,No ECCN is required for License Exceptions TMP
362,2A983,Explosives Or Detonator Detection Equip.
365,5A002,Information Security software related to encryption
371,1C008,Ground Vehicles and Related Commodities
372,0A606,Non-Fluorinated Polymeric Substances
374,5D002,Information Security software related to encryption
